transaction_id,customer_id,date,amount,payment_method,bank,category,status
1001,970,2024-06-06,3178.88,Cash,N/A,Travel,Success
1002,317,2024-02-05,7681.76,Credit Card,AMEX,Utilities,Success
1003,697,2024-03-25,10600.71,Cash,N/A,Healthcare,Refunded
1004,698,2024-12-19,35733.56,Net Banking,Yes Bank,Travel,Success
1005,886,2024-09-21,6489.71,Credit Card,HDFC,Education,Success
1006,256,2024-10-10,29545.47,UPI,SBI,Travel,Success
1007,532,2024-04-27,72480.89,Debit Card,SBI,Electronics,Success
1008,821,2024-12-08,11104.72,Credit Card,AMEX,Education,Pending
1009,605,2024-10-22,12528.36,Net Banking,Axis,Education,Success
1010,674,2024-12-03,1836.06,Net Banking,Axis,Groceries,Failed
1011,189,2024-12-10,5318.71,Wallet,GooglePay,Electronics,Failed
1012,765,2024-05-07,9753.38,Net Banking,HDFC,Travel,Success
1013,821,2024-08-24,43761.95,UPI,Axis,Travel,Failed
1014,697,2024-02-20,1321.68,Cash,N/A,Food,Refunded
1015,652,2024-05-01,6214.93,Net Banking,HDFC,Clothing,Failed
1016,532,2024-03-25,110.56,Net Banking,ICICI,Groceries,Pending
1017,423,2024-05-26,3513.3,Wallet,Mobikwik,Groceries,Success
1018,317,2024-03-20,15046.38,UPI,Kotak,Travel,Success
1019,532,2024-06-09,147.78,Net Banking,Kotak,Food,Pending
1020,974,2024-03-21,1923.52,UPI,HDFC,Food,Success
1021,130,2024-12-11,20367.64,Cash,N/A,Travel,Success
1022,792,2024-11-13,33828.38,Cash,N/A,Electronics,Pending
1023,467,2024-12-08,1269.56,Net Banking,HDFC,Entertainment,Success
1024,891,2024-08-22,4652.19,UPI,SBI,Entertainment,Success
1025,241,2024-02-21,43241.94,Cash,N/A,Electronics,Success
1026,314,2024-02-05,18665.5,Credit Card,SBI,Travel,Failed
1027,282,2024-06-03,98401.48,Wallet,Mobikwik,Furniture,Success
1028,508,2024-06-02,75144.94,Credit Card,Axis,Electronics,Success
1029,765,2024-10-10,4230.75,Cash,N/A,Clothing,Success
1030,467,2024-12-17,10157.64,Debit Card,SBI,Healthcare,Success
1031,670,2024-05-21,56.91,Credit Card,AMEX,Food,Refunded
1032,983,2024-08-14,7086.11,Cash,N/A,Utilities,Success
1033,915,2024-03-17,456.68,Debit Card,Axis,Utilities,Success
1034,801,2024-03-06,651.1,UPI,ICICI,Food,Success
1035,180,2024-12-07,28617.45,Cash,N/A,Electronics,Refunded
1036,265,2024-03-20,43270.9,Credit Card,SBI,Travel,Success
1037,973,2024-06-19,4030.95,Wallet,PhonePe,Groceries,Success
1038,612,2024-02-25,4373.62,Net Banking,HDFC,Groceries,Success
1039,510,2024-06-28,16428.67,Credit Card,ICICI,Healthcare,Success
1040,194,2024-07-23,1465.15,UPI,ICICI,Entertainment,Success
1041,246,2024-07-23,3378.38,UPI,SBI,Utilities,Pending
1042,743,2024-04-01,96290.9,Debit Card,SBI,Furniture,Success
1043,432,2024-06-25,2238.33,Cash,N/A,Entertainment,Success
1044,193,2024-04-07,983.29,Net Banking,SBI,Healthcare,Success
1045,369,2024-12-17,18401.81,UPI,PNB,Travel,Pending
1046,843,2024-06-09,57720.46,Debit Card,Axis,Electronics,Success
1047,488,2024-06-16,3516.32,Cash,N/A,Groceries,Success
1048,756,2024-07-13,9309.62,Debit Card,PNB,Clothing,Success
1049,754,2024-06-04,4282.64,Cash,N/A,Healthcare,Success
1050,157,2024-12-11,25705.35,Wallet,PhonePe,Travel,Success
1051,171,2024-09-20,34183.64,Credit Card,AMEX,Furniture,Success
1052,489,2024-03-16,140.12,Net Banking,Kotak,Food,Failed
1053,195,2024-08-21,4442.07,Cash,N/A,Groceries,Success
1054,275,2024-09-10,1295.52,Wallet,Paytm,Groceries,Pending
1055,600,2024-02-24,1172.32,Wallet,Mobikwik,Groceries,Success
1056,930,2024-05-07,36788.72,Net Banking,Yes Bank,Electronics,Success
1057,889,2024-10-31,4755.19,Net Banking,Kotak,Entertainment,Failed
1058,569,2024-08-06,4514.54,Credit Card,AMEX,Utilities,Failed
1059,982,2024-05-12,42041.19,Debit Card,Axis,Travel,Success
1060,227,2024-05-20,4335.43,Debit Card,HDFC,Education,Success
1061,948,2024-10-03,11500.74,Credit Card,SBI,Electronics,Success
1062,282,2024-04-19,33482.0,Debit Card,Axis,Electronics,Success
1063,532,2024-04-15,2008.44,Cash,N/A,Groceries,Failed
1064,713,2024-10-21,2437.2,Debit Card,ICICI,Groceries,Failed
1065,804,2024-10-02,8018.69,Credit Card,SBI,Utilities,Success
1066,432,2024-09-05,808.27,Wallet,Amazon Pay,Food,Success
1067,167,2024-03-06,53878.24,Net Banking,Kotak,Furniture,Success
1068,328,2024-02-12,764.93,Net Banking,HDFC,Groceries,Success
1069,914,2024-06-16,22898.56,Debit Card,PNB,Travel,Success
1070,804,2024-05-09,37889.39,Wallet,Mobikwik,Electronics,Success
1071,314,2024-04-24,62608.03,Wallet,Paytm,Electronics,Failed
1072,180,2024-04-12,1261.6,Credit Card,ICICI,Food,Success
1073,986,2024-10-15,23412.19,Debit Card,ICICI,Travel,Success
1074,710,2024-02-28,14477.87,UPI,Kotak,Clothing,Success
1075,978,2024-10-21,2043.61,Wallet,PhonePe,Groceries,Success
1076,915,2024-11-17,5364.49,Debit Card,BOB,Travel,Success
1077,529,2024-10-16,727.05,Net Banking,Yes Bank,Food,Success
1078,569,2024-11-27,162.0,Net Banking,Axis,Entertainment,Success
1079,970,2024-11-21,35511.78,Net Banking,HDFC,Education,Success
1080,217,2024-05-18,81011.72,Cash,N/A,Furniture,Success
1081,902,2024-10-30,6513.86,Credit Card,HDFC,Healthcare,Success
1082,982,2024-05-04,28707.56,Wallet,Amazon Pay,Education,Success
1083,611,2024-06-15,7415.74,Debit Card,ICICI,Clothing,Success
1084,959,2024-12-25,11160.24,Cash,N/A,Healthcare,Success
1085,405,2024-07-27,27981.22,Credit Card,AMEX,Education,Success
1086,208,2024-09-08,39750.18,UPI,ICICI,Education,Success
1087,103,2024-05-04,13312.8,Debit Card,PNB,Healthcare,Success
1088,463,2024-08-05,3374.83,Wallet,Amazon Pay,Utilities,Success
1089,665,2024-04-28,57842.1,Debit Card,SBI,Electronics,Success
1090,713,2024-12-19,3034.81,Wallet,Amazon Pay,Clothing,Success
1091,256,2024-09-25,29016.87,UPI,HDFC,Furniture,Success
1092,970,2024-04-01,381.55,Cash,N/A,Healthcare,Success
1093,189,2024-10-10,13978.61,Credit Card,AMEX,Healthcare,Failed
1094,771,2024-02-22,1169.43,Net Banking,Axis,Food,Success
1095,444,2024-01-27,18827.17,Net Banking,SBI,Healthcare,Failed
1096,267,2024-09-08,46373.18,Wallet,Paytm,Electronics,Success
1097,241,2024-06-04,79516.49,UPI,Kotak,Electronics,Failed
1098,710,2024-11-01,23343.03,Cash,N/A,Furniture,Success
1099,157,2024-06-01,99013.09,Debit Card,Axis,Furniture,Success
1100,165,2024-02-20,31388.1,Debit Card,BOB,Travel,Success
1101,227,2024-03-29,843.14,UPI,Axis,Utilities,Success
1102,959,2024-08-28,749.53,Debit Card,BOB,Healthcare,Success
1103,423,2024-02-06,46218.38,Wallet,Mobikwik,Travel,Success
1104,489,2024-08-05,43792.71,Wallet,PhonePe,Electronics,Pending
1105,106,2024-02-06,373.55,Debit Card,Axis,Food,Success
1106,621,2024-05-27,6655.51,Wallet,GooglePay,Education,Success
1107,691,2024-09-13,4988.57,UPI,Kotak,Utilities,Success
1108,801,2024-06-14,25786.42,UPI,HDFC,Furniture,Refunded
1109,193,2024-10-27,1999.17,Wallet,GooglePay,Food,Success
1110,713,2024-03-30,26188.71,Net Banking,ICICI,Education,Success
1111,212,2024-08-11,48468.23,Net Banking,ICICI,Education,Success
1112,955,2024-12-09,68689.78,Debit Card,PNB,Electronics,Success
1113,146,2024-12-05,4086.47,Cash,N/A,Groceries,Success
1114,203,2024-05-09,668.02,Net Banking,Kotak,Entertainment,Failed
1115,754,2024-12-02,4673.57,UPI,HDFC,Utilities,Success
1116,843,2024-09-12,38119.53,Credit Card,Axis,Education,Success
1117,146,2024-08-12,6510.59,Wallet,Mobikwik,Education,Failed
1118,619,2024-03-22,11061.7,Cash,N/A,Healthcare,Success
1119,986,2024-08-24,51992.92,Credit Card,SBI,Electronics,Pending
1120,777,2024-09-17,8368.26,Net Banking,Axis,Healthcare,Success
1121,508,2024-03-15,1033.99,Cash,N/A,Groceries,Failed
1122,296,2024-07-31,4677.82,Cash,N/A,Entertainment,Failed
1123,171,2024-06-01,58412.42,Wallet,Amazon Pay,Furniture,Failed
1124,334,2024-10-02,17583.64,Cash,N/A,Education,Success
1125,955,2024-04-06,28718.34,Credit Card,SBI,Travel,Success
1126,482,2024-08-30,1991.79,Wallet,PhonePe,Groceries,Success
1127,204,2024-03-05,9657.0,Debit Card,SBI,Utilities,Pending
1128,886,2024-02-21,9113.37,UPI,PNB,Utilities,Success
1129,798,2024-03-20,37824.5,Debit Card,ICICI,Electronics,Success
1130,993,2024-11-28,68215.34,Wallet,Mobikwik,Electronics,Success
1131,948,2024-11-16,43682.96,UPI,Kotak,Education,Success
1132,641,2024-12-16,19948.78,Wallet,Paytm,Healthcare,Success
1133,303,2024-11-20,35772.44,Wallet,GooglePay,Electronics,Pending
1134,858,2024-06-15,622.07,Debit Card,PNB,Food,Success
1135,974,2024-07-29,68498.24,Credit Card,ICICI,Furniture,Success
1136,165,2024-07-14,68630.32,Net Banking,Kotak,Furniture,Success
1137,374,2024-11-22,9245.45,Wallet,Paytm,Healthcare,Pending
1138,167,2024-05-27,1663.96,Net Banking,ICICI,Utilities,Refunded
1139,891,2024-11-23,3482.54,Net Banking,ICICI,Groceries,Success
1140,275,2024-09-04,19357.85,Cash,N/A,Electronics,Success
1141,612,2024-05-31,1956.99,Wallet,Amazon Pay,Food,Success
1142,241,2024-12-17,1825.7,Wallet,Amazon Pay,Food,Failed
1143,146,2024-04-27,80391.26,Credit Card,AMEX,Furniture,Success
1144,665,2024-12-13,9498.07,Wallet,Paytm,Clothing,Success
1145,886,2024-01-18,37121.26,Credit Card,HDFC,Furniture,Pending
1146,564,2024-07-31,3171.76,Cash,N/A,Clothing,Success
1147,691,2024-03-25,18289.57,Net Banking,ICICI,Healthcare,Success
1148,266,2024-02-28,48163.22,Credit Card,ICICI,Education,Failed
1149,998,2024-12-11,4839.62,Cash,N/A,Groceries,Success
1150,993,2024-01-08,10777.79,Net Banking,ICICI,Healthcare,Success
1151,997,2024-05-14,38721.52,Wallet,GooglePay,Furniture,Success
1152,570,2024-08-29,1258.12,Cash,N/A,Food,Pending
1153,926,2024-11-27,51014.61,Net Banking,Yes Bank,Electronics,Success
1154,488,2024-02-29,871.13,UPI,ICICI,Clothing,Refunded
1155,986,2024-02-19,44396.79,Credit Card,SBI,Travel,Success
1156,956,2024-12-22,4249.35,Wallet,PhonePe,Utilities,Pending
1157,798,2024-02-20,30974.78,Debit Card,SBI,Education,Success
1158,370,2024-08-15,47552.48,Debit Card,SBI,Education,Refunded
1159,763,2024-10-05,396.7,Debit Card,HDFC,Entertainment,Refunded
1160,423,2024-02-16,32192.71,Cash,N/A,Travel,Success
1161,473,2024-05-04,11847.28,Credit Card,HDFC,Clothing,Failed
1162,508,2024-04-16,22379.18,Credit Card,Axis,Furniture,Failed
1163,959,2024-01-02,17182.28,Credit Card,ICICI,Healthcare,Success
1164,259,2024-02-26,307.02,Debit Card,HDFC,Food,Success
1165,381,2024-03-30,1142.74,Wallet,Amazon Pay,Healthcare,Success
1166,482,2024-02-02,22689.62,Debit Card,Axis,Education,Success
1167,982,2024-09-14,47287.16,UPI,PNB,Travel,Failed
1168,938,2024-09-23,9215.05,UPI,SBI,Healthcare,Refunded
1169,267,2024-08-06,39476.37,Net Banking,SBI,Electronics,Pending
1170,955,2024-11-07,1172.1,Debit Card,Axis,Clothing,Success
1171,697,2024-12-30,1966.43,Cash,N/A,Entertainment,Success
1172,957,2024-08-08,63551.14,UPI,PNB,Electronics,Success
1173,431,2024-10-09,21674.48,Credit Card,SBI,Travel,Success
1174,423,2024-07-23,3675.1,Debit Card,PNB,Groceries,Success
1175,400,2024-07-10,10364.95,Net Banking,SBI,Clothing,Success
1176,617,2024-02-17,573.17,Wallet,GooglePay,Groceries,Failed
1177,930,2024-01-31,95705.84,Cash,N/A,Furniture,Success
1178,376,2024-06-30,4353.65,Wallet,Paytm,Groceries,Refunded
1179,796,2024-06-08,607.64,Cash,N/A,Entertainment,Success
1180,422,2024-04-24,28334.06,Cash,N/A,Electronics,Success
1181,821,2024-10-20,40418.9,Cash,N/A,Travel,Success
1182,938,2024-12-21,676.17,Debit Card,BOB,Healthcare,Failed
1183,266,2024-06-28,403.74,Credit Card,Kotak,Food,Success
1184,130,2024-03-13,228.93,Cash,N/A,Food,Success
1185,423,2024-06-23,5676.79,Wallet,GooglePay,Clothing,Failed
1186,621,2024-11-01,70725.7,Credit Card,ICICI,Electronics,Failed
1187,658,2024-12-11,22132.18,Wallet,Amazon Pay,Electronics,Success
1188,157,2024-07-31,4389.82,Cash,N/A,Healthcare,Success
1189,818,2024-05-25,49176.64,Wallet,GooglePay,Furniture,Success
1190,993,2024-11-02,64.99,Debit Card,HDFC,Food,Failed
1191,713,2024-05-10,6629.63,UPI,Axis,Healthcare,Success
1192,259,2024-03-07,2709.65,Credit Card,Kotak,Groceries,Success
1193,956,2024-06-30,32067.16,Wallet,Paytm,Electronics,Success
1194,510,2024-02-09,2921.22,Cash,N/A,Entertainment,Success
1195,755,2024-05-28,32700.07,Debit Card,HDFC,Electronics,Failed
1196,490,2024-08-23,531.84,UPI,HDFC,Entertainment,Success
1197,267,2024-09-25,31963.45,Debit Card,BOB,Electronics,Success
1198,473,2024-03-27,41083.42,UPI,Kotak,Electronics,Success
1199,119,2024-06-27,3664.16,Wallet,PhonePe,Entertainment,Success
1200,877,2024-05-11,8922.9,Credit Card,AMEX,Travel,Success
1201,600,2024-11-17,23465.68,Cash,N/A,Education,Success
1202,241,2024-11-25,32997.62,Wallet,GooglePay,Furniture,Success
1203,130,2024-08-28,31753.56,Debit Card,Axis,Education,Success
1204,569,2024-02-07,9288.68,UPI,SBI,Healthcare,Success
1205,146,2024-02-09,49393.17,Cash,N/A,Electronics,Success
1206,508,2024-01-22,45497.97,Cash,N/A,Education,Success
1207,680,2024-09-13,14374.29,Net Banking,SBI,Clothing,Failed
1208,479,2024-12-31,40611.65,Credit Card,HDFC,Electronics,Success
1209,886,2024-08-12,5275.21,Credit Card,Axis,Utilities,Success
1210,171,2024-07-17,3894.88,Wallet,Mobikwik,Groceries,Success
1211,641,2024-11-27,422.97,UPI,Kotak,Entertainment,Success
1212,171,2024-05-09,87454.69,Debit Card,SBI,Furniture,Success
1213,106,2024-06-28,19357.16,Wallet,Amazon Pay,Healthcare,Success
1214,619,2024-02-13,11222.55,Wallet,GooglePay,Healthcare,Failed
1215,956,2024-12-25,1025.18,Wallet,Amazon Pay,Utilities,Success
1216,381,2024-07-04,3687.23,Credit Card,Axis,Healthcare,Pending
1217,317,2024-04-08,49998.84,Credit Card,HDFC,Travel,Success
1218,303,2024-09-16,8367.69,Cash,N/A,Utilities,Success
